Date,Open,High,Low,Close,Ticker,,
2022-10-18,7608.959961,7653.970215,7608.959961,7645.689941,BSE-200,,
2022-10-19,7671.490234,7695.910156,7637.810059,7653.060059,BSE-200,,
2022-10-20,7618.839844,7687.080078,7608.629883,7677.700195,BSE-200,,
2022-10-21,7696.27002,7714.160156,7643.680176,7667.399902,BSE-200,,
2022-10-24,7730.060059,7750.950195,7718.080078,7725.149902,BSE-200,,
2022-10-25,7740.160156,7748.600098,7699.390137,7704.879883,BSE-200,,
2022-10-27,7732.299805,7764,7711.22998,7747.899902,BSE-200,,
2022-10-28,7747.240234,7776.709961,7726.890137,7753.180176,BSE-200,,
2022-10-31,7783.100098,7856.52002,7783.100098,7851.200195,BSE-200,,
2022-11-01,7880.870117,7919.390137,7874.200195,7915.220215,BSE-200,,
2022-11-02,7915.97998,7924.180176,7878.080078,7890.740234,BSE-200,,
2022-11-03,7838.870117,7902.75,7836.660156,7884.5,BSE-200,,
2022-11-04,7873.430176,7911.609863,7865.080078,7905.830078,BSE-200,,
2022-11-07,7933.439941,7964.299805,7888.850098,7946.100098,BSE-200,,
2022-11-09,7960.910156,7978.330078,7906.620117,7923.209961,BSE-200,,
2022-11-10,7869.240234,7900.569824,7835.02002,7861.330078,BSE-200,,
2022-11-11,7946.140137,7980.689941,7946.140137,7974.950195,BSE-200,,
2022-11-14,7972.060059,7992.549805,7961.439941,7970.680176,BSE-200,,
2022-11-15,7968.660156,8001.669922,7947.439941,7993.430176,BSE-200,,
2022-11-16,7977.390137,8000.330078,7949.890137,7977.669922,BSE-200,,
2022-11-17,7957.620117,7976.669922,7930.830078,7942.379883,BSE-200,,
2022-11-18,7955.279785,7966.930176,7880.160156,7920.799805,BSE-200,,
2022-11-21,7895.160156,7897.089844,7850.52002,7862.029785,BSE-200,,
2022-11-22,7859.689941,7898.22998,7854.649902,7894.439941,BSE-200,,
2022-11-23,7928.470215,7929.040039,7899.220215,7906.490234,BSE-200,,
2022-11-24,7922.370117,7998.02002,7921.720215,7985.180176,BSE-200,,
2022-11-25,7991.890137,8010.720215,7974.080078,8001.450195,BSE-200,,
2022-11-28,7974.509766,8048.02002,7970.450195,8028.359863,BSE-200,,
2022-11-29,8013.120117,8069.439941,8013.100098,8045.569824,BSE-200,,
2022-11-30,8053.939941,8142.640137,8049.529785,8117.399902,BSE-200,,
2022-12-01,8149.069824,8164.700195,8128.910156,8144.549805,BSE-200,,
2022-12-02,8117.319824,8132.75,8088.310059,8114.899902,BSE-200,,
2022-12-05,8118.259766,8126.959961,8068.779785,8115.279785,BSE-200,,
2022-12-06,8072.740234,8098.490234,8071.759766,8092.759766,BSE-200,,
2022-12-07,8092.959961,8110.509766,8051.299805,8062.910156,BSE-200,,
2022-12-08,8074.850098,8092.189941,8060.649902,8085.649902,BSE-200,,
2022-12-09,8103.430176,8113.029785,7994.02002,8037.129883,BSE-200,,
2022-12-12,7996.330078,8047.160156,7971.870117,8040.180176,BSE-200,,
2022-12-13,8062.430176,8083.580078,8040.870117,8078.089844,BSE-200,,
2022-12-14,8096.209961,8120.97998,8096.120117,8106.540039,BSE-200,,
